From,To
SOURCE_DETAIL,SDG Series
SDG Series,Source details
Education level,Sex
Education level,Degree of urbanisation
Education level,Income or wealth quantile
Education level,Composite breakdown
Source details,Education level
Education level,Observation-level footnotes
Observation-level footnotes,COMMENT_OBS
