From,To
NATURE,SOURCE_DETAIL
Observation-level footnotes,COMMENT_OBS
SOURCE_DETAIL,SDG Series
SDG Series,Composite breakdown
Composite breakdown,Unit of measure
Unit of measure,Nature of data points
Nature of data points,Source details
Source details,Observation-level footnotes
