Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",135.22042
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",118.23947
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",39.17698
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",54.97967
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",93.8279
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",114.52203
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",120.03186
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",167.82404
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",127.66598
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",143.87807
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",85.75769
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",124.47646
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",149.11736
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",190.90892
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",162.29958
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",164.88812
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",189.08379
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",213.94013
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",225.53385
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",218.19584
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",312.72444
