Year,Value
2006,0.82173
2007,2.08575
2008,1.61342
2009,3.41394
2010,2.13945
2011,4.86034
2012,3.98898
2013,4.91414
2014,4.19307
2015,5.86055
2016,4.64438
2017,4.0702
2018,3.92773
2019,6.38747
2020,5.42458
