From,To
UNIT_MULT,NATURE
NATURE,UPPER_BOUND
Source details,COMMENT_OBS
UPPER_BOUND,LOWER_BOUND
LOWER_BOUND,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Unit of measure,Nature of data points
Nature of data points,Observation-level footnotes
Observation-level footnotes,Upper bound value
Upper bound value,Lower bound value
Lower bound value,Source details
