Year,Value
2003,61.52
2004,60.15
2005,60.47
2006,57.49
2007,58.41
2008,55.89
2009,55.19
2010,55.61
2011,51.49
2012,53.81
2013,55.07
2014,54.18
2015,54.18
2016,51.09
2017,51.17
