Year,SDG Series,Value
2004,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.12755
2005,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.57883
2006,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.85465
2007,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",2.15657
2008,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",2.62994
2009,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",3.36253
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",3.62847
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",3.87806
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.22203
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.8586
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.45568
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.63736
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.54049
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.19614
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.14534
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.04489
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",3.91206
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.1498
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.20565
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.2156
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",1.41084
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.08447
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.41525
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.51994
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.45084
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.76577
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.96522
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.05248
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.03289
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.88239
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.66524
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.58422
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.57555
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.44605
