Year,SDG Series,Value
2011,Detected victims of human trafficking (number) [16.2.2],64
2013,Detected victims of human trafficking (number) [16.2.2],837
2014,Detected victims of human trafficking (number) [16.2.2],79
2008,Detected victims of human trafficking for other purposes (number) [16.2.2],370
