Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",165.93306
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",370.48133
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",85.32636
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",72.33741
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",140.58515
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",100.59961
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",112.31497
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",302.28467
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",316.59472
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",307.45715
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",344.13823
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",310.43286
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",279.11539
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",360.86541
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",301.30545
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",327.83226
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",198.61345
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",238.47017
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",727.85625
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",332.82002
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",243.11849
