Year,NATURE,COMMENT_OBS,Value
2000,E,"Obs_Value = 0;  Out of 6 local breeds, 67% are of unknown status",0
2002,C,"Obs_Value = 0;  Out of 6 local breeds, 50% are of unknown status",0
2003,E,"Obs_Value = 0;  Out of 6 local breeds, 50% are of unknown status",0
2004,E,"Obs_Value = 0;  Out of 6 local breeds, 50% are of unknown status",0
2005,E,"Obs_Value = 0;  Out of 6 local breeds, 50% are of unknown status",0
2006,E,"Obs_Value = 0;  Out of 12 local breeds, 75% are of unknown status",0
2007,E,"Obs_Value = 0;  Out of 12 local breeds, 75% are of unknown status",0
2008,E,"Obs_Value = 0;  Out of 12 local breeds, 75% are of unknown status",0
2009,E,"Obs_Value = 0;  Out of 12 local breeds, 75% are of unknown status",0
2010,E,"Obs_Value = 0;  Out of 12 local breeds, 75% are of unknown status",0
2011,E,"Obs_Value = 0;  Out of 12 local breeds, 75% are of unknown status",0
