Year,UPPER_BOUND,LOWER_BOUND,Value
2000,527,106,276
2001,437,137,266
2002,390,150,256
2003,360,156,248
2004,341,156,240
2005,342,145,233
2006,333,141,227
2007,324,139,222
2008,312,139,217
2009,309,135,213
2010,301,135,210
2011,286,141,207
2012,291,133,205
2013,289,132,203
2014,295,127,202
2015,305,119,202
2016,307,118,201
2017,306,118,201
2018,304,118,200
2019,303,117,200
2020,296,117,196
