Year,Value
2000,95.01
2001,95.22
2002,95.35
2003,95.28
2004,95.02
2005,94.11
2006,93.82
2007,93.74
2008,93.73
2009,93.87
2010,93.18
2011,92.79
2012,92.95
2013,92.55
2014,91.84
2015,91.07
2016,90.83
2017,90.76
2018,90.07
2019,90.22
