Year,COMMENT_OBS,Value
2002,,0.36756
2003,,0.25612
2004,,0.26056
2005,,0.21514
2006,,0.30033
2007,,0.38821
2008,,0.32632
2009,,0.25547
2010,,0.3599
2014,Break in series with previous year for which data are available,0.14265
