Year,COMMENT_OBS,Value
1989,Based on data from HBS. Estimated from grouped consumption data. ,20
1992,Based on data from NIHS. Estimated from unit-record consumption data. ,14
1996,Based on data from NIHS. Estimated from unit-record consumption data. ,11
1999,Based on data from NIHS. Estimated from unit-record consumption data. ,14
2002,Based on data from UNHS. Estimated from unit-record consumption data. ,13
2005,Based on data from UNHS. Estimated from unit-record consumption data. ,13
2009,Based on data from UNHS. Estimated from unit-record consumption data. ,13
2012,Based on data from UNHS. Estimated from unit-record consumption data. ,12
2016,Based on data from UNHS. Estimated from unit-record consumption data. ,13
2019,Based on data from UNHS. Estimated from unit-record consumption data. ,13
