Year,Value
2000,830.62167
2001,791.42333
2002,722.46533
2003,1017.12867
2004,1208.50193
2005,1257.96498
2006,1603.18193
2007,1834.40551
2008,1893.32536
2009,2016.32398
2010,1857.51462
2011,1648.62843
2012,1782.00712
2013,1836.87836
2014,3982.74702
2015,2992.12411
2016,2158.36231
2017,2137.02108
2018,2704.04318
2019,2370.74792
2020,3727.66446
