Year,Sex,Value
2000,,24.7
2005,,18.8
2010,,14.3
2015,,10.9
2018,,8.9
2019,,8.9
2020,,8.4
2000,Female,13.6
2005,Female,9.8
2010,Female,7.1
2015,Female,5.1
2018,Female,4.3
2019,Female,4.0
2020,Female,3.7
2000,Male,35.7
2005,Male,27.8
2010,Male,21.5
2015,Male,16.7
2018,Male,14.3
2019,Male,13.7
2020,Male,13.0
