Year,UPPER_BOUND,LOWER_BOUND,Age,Upper bound value,Lower bound value,Value
2018,34,16.5,15 years old and over,34,16.5,24.2
2018,36.4,17.9,15 to 49 years old,36.4,17.9,26.1
