Year,Value
2004,41.9
2005,42.0
2006,40.8
2007,41.3
2008,41.1
2009,41.5
2010,41.7
2011,40.7
2012,41.9
2013,42.0
2014,41.6
2015,41.6
2016,41.6
2017,41.9
2018,41.3
2019,41.1
