Year,Sex,Age,Value
2020,Male,15 to 24 years old,0.7
2000,Male,15 to 49 years old,6.16
2001,Male,15 to 49 years old,6.01
2002,Male,15 to 49 years old,5.81
2003,Male,15 to 49 years old,5.66
2004,Male,15 to 49 years old,5.42
2005,Male,15 to 49 years old,5.32
2006,Male,15 to 49 years old,5.15
2007,Male,15 to 49 years old,5.18
2008,Male,15 to 49 years old,5.19
2009,Male,15 to 49 years old,4.98
2010,Male,15 to 49 years old,4.71
2011,Male,15 to 49 years old,4.37
2012,Male,15 to 49 years old,4.04
2013,Male,15 to 49 years old,3.58
2014,Male,15 to 49 years old,3.12
2015,Male,15 to 49 years old,2.71
2016,Male,15 to 49 years old,2.46
2017,Male,15 to 49 years old,2.15
2018,Male,15 to 49 years old,1.78
2019,Male,15 to 49 years old,1.58
2020,Male,15 to 49 years old,1.18
