Year,Sex,Age,Value
2000,,,4.92
2001,,,4.78
2002,,,4.6
2003,,,4.46
2004,,,4.24
2005,,,4.12
2006,,,3.97
2007,,,3.87
2008,,,3.75
2009,,,3.58
2010,,,3.35
2011,,,3.07
2012,,,2.72
2013,,,2.51
2014,,,2.24
2015,,,1.99
2016,,,1.85
2017,,,1.64
2018,,,1.36
2019,,,1.24
2020,,,0.95
2000,,50 years old and over,2.43
2001,,50 years old and over,2.38
2002,,50 years old and over,2.31
2003,,50 years old and over,2.26
2004,,50 years old and over,2.17
2005,,50 years old and over,2.13
2006,,50 years old and over,2.07
2007,,50 years old and over,2.09
2008,,50 years old and over,2.1
2009,,50 years old and over,2.02
2010,,50 years old and over,1.92
2011,,50 years old and over,1.82
2012,,50 years old and over,1.72
2013,,50 years old and over,1.56
2014,,50 years old and over,1.38
2015,,50 years old and over,1.22
2016,,50 years old and over,1.14
2017,,50 years old and over,1.01
2018,,50 years old and over,0.85
2019,,50 years old and over,0.76
2020,,50 years old and over,0.57
2000,,under 15 years old,3.26
2001,,under 15 years old,3.12
2002,,under 15 years old,2.99
2003,,under 15 years old,2.84
2004,,under 15 years old,2.67
2005,,under 15 years old,2.53
2006,,under 15 years old,2.41
2007,,under 15 years old,2.15
2008,,under 15 years old,1.9
2009,,under 15 years old,1.78
2010,,under 15 years old,1.6
2011,,under 15 years old,1.29
2012,,under 15 years old,0.85
2013,,under 15 years old,0.86
2014,,under 15 years old,0.77
2015,,under 15 years old,0.68
2016,,under 15 years old,0.64
2017,,under 15 years old,0.54
2018,,under 15 years old,0.39
2019,,under 15 years old,0.35
2020,,under 15 years old,0.28
2000,,15 to 24 years old,6.78
2001,,15 to 24 years old,6.61
2002,,15 to 24 years old,6.38
2003,,15 to 24 years old,6.22
2004,,15 to 24 years old,5.95
2005,,15 to 24 years old,5.84
2006,,15 to 24 years old,5.66
2007,,15 to 24 years old,5.69
2008,,15 to 24 years old,5.71
2009,,15 to 24 years old,5.5
2010,,15 to 24 years old,5.21
2011,,15 to 24 years old,4.96
2012,,15 to 24 years old,4.71
2013,,15 to 24 years old,4.28
2014,,15 to 24 years old,3.81
2015,,15 to 24 years old,3.39
2016,,15 to 24 years old,3.14
2017,,15 to 24 years old,2.8
2018,,15 to 24 years old,2.37
2019,,15 to 24 years old,2.15
2020,,15 to 24 years old,1.63
2000,,15 to 49 years old,7.39
2001,,15 to 49 years old,7.21
2002,,15 to 49 years old,6.96
2003,,15 to 49 years old,6.79
2004,,15 to 49 years old,6.5
2005,,15 to 49 years old,6.38
2006,,15 to 49 years old,6.18
2007,,15 to 49 years old,6.22
2008,,15 to 49 years old,6.24
2009,,15 to 49 years old,5.99
2010,,15 to 49 years old,5.67
2011,,15 to 49 years old,5.37
2012,,15 to 49 years old,5.08
2013,,15 to 49 years old,4.59
2014,,15 to 49 years old,4.08
2015,,15 to 49 years old,3.62
2016,,15 to 49 years old,3.34
2017,,15 to 49 years old,2.97
2018,,15 to 49 years old,2.5
2019,,15 to 49 years old,2.26
2020,,15 to 49 years old,1.72
2000,Female,,5.37
2001,Female,,5.22
2002,Female,,5.03
2003,Female,,4.88
2004,Female,,4.65
2005,Female,,4.52
2006,Female,,4.37
2007,Female,,4.27
2008,Female,,4.16
2009,Female,,3.98
2010,Female,,3.74
2011,Female,,3.48
2012,Female,,3.16
2013,Female,,2.94
2014,Female,,2.65
2015,Female,,2.39
2016,Female,,2.24
2017,Female,,2.01
2018,Female,,1.69
2019,Female,,1.55
2020,Female,,1.2
2000,Female,50 years old and over,2.28
2001,Female,50 years old and over,2.23
2002,Female,50 years old and over,2.16
2003,Female,50 years old and over,2.11
2004,Female,50 years old and over,2.02
2005,Female,50 years old and over,1.99
2006,Female,50 years old and over,1.92
2007,Female,50 years old and over,1.94
2008,Female,50 years old and over,1.95
2009,Female,50 years old and over,1.87
2010,Female,50 years old and over,1.78
2011,Female,50 years old and over,1.71
2012,Female,50 years old and over,1.64
2013,Female,50 years old and over,1.51
2014,Female,50 years old and over,1.36
2015,Female,50 years old and over,1.22
2016,Female,50 years old and over,1.15
2017,Female,50 years old and over,1.03
2018,Female,50 years old and over,0.88
2019,Female,50 years old and over,0.8
2020,Female,50 years old and over,0.61
2000,Female,15 to 24 years old,9.95
2001,Female,15 to 24 years old,9.69
2002,Female,15 to 24 years old,9.35
2003,Female,15 to 24 years old,9.11
2004,Female,15 to 24 years old,8.72
2005,Female,15 to 24 years old,8.55
2006,Female,15 to 24 years old,8.27
2007,Female,15 to 24 years old,8.31
2008,Female,15 to 24 years old,8.33
2009,Female,15 to 24 years old,8.0
2010,Female,15 to 24 years old,7.57
2011,Female,15 to 24 years old,7.27
2012,Female,15 to 24 years old,6.97
2013,Female,15 to 24 years old,6.38
2014,Female,15 to 24 years old,5.74
2015,Female,15 to 24 years old,5.15
2016,Female,15 to 24 years old,4.81
2017,Female,15 to 24 years old,4.33
2018,Female,15 to 24 years old,3.68
2019,Female,15 to 24 years old,3.37
2020,Female,15 to 24 years old,2.58
2000,Female,15 to 49 years old,8.63
2001,Female,15 to 49 years old,8.42
2002,Female,15 to 49 years old,8.13
2003,Female,15 to 49 years old,7.93
2004,Female,15 to 49 years old,7.59
2005,Female,15 to 49 years old,7.45
2006,Female,15 to 49 years old,7.21
2007,Female,15 to 49 years old,7.25
2008,Female,15 to 49 years old,7.27
2009,Female,15 to 49 years old,6.98
2010,Female,15 to 49 years old,6.6
2011,Female,15 to 49 years old,6.34
2012,Female,15 to 49 years old,6.07
2013,Female,15 to 49 years old,5.56
2014,Female,15 to 49 years old,5.0
2015,Female,15 to 49 years old,4.49
2016,Female,15 to 49 years old,4.19
2017,Female,15 to 49 years old,3.77
2018,Female,15 to 49 years old,3.21
2019,Female,15 to 49 years old,2.93
2020,Female,15 to 49 years old,2.24
2000,Male,,4.46
2001,Male,,4.32
2002,Male,,4.17
2003,Male,,4.03
2004,Male,,3.83
2005,Male,,3.71
2006,Male,,3.58
2007,Male,,3.46
2008,Male,,3.33
2009,Male,,3.17
2010,Male,,2.96
2011,Male,,2.64
2012,Male,,2.27
2013,Male,,2.07
2014,Male,,1.82
2015,Male,,1.59
2016,Male,,1.46
2017,Male,,1.27
2018,Male,,1.03
2019,Male,,0.92
2020,Male,,0.7
2000,Male,50 years old and over,2.63
2001,Male,50 years old and over,2.58
2002,Male,50 years old and over,2.5
2003,Male,50 years old and over,2.45
2004,Male,50 years old and over,2.36
2005,Male,50 years old and over,2.33
2006,Male,50 years old and over,2.27
2007,Male,50 years old and over,2.29
2008,Male,50 years old and over,2.31
2009,Male,50 years old and over,2.22
2010,Male,50 years old and over,2.11
2011,Male,50 years old and over,1.96
2012,Male,50 years old and over,1.82
2013,Male,50 years old and over,1.62
2014,Male,50 years old and over,1.41
2015,Male,50 years old and over,1.23
2016,Male,50 years old and over,1.13
2017,Male,50 years old and over,0.98
2018,Male,50 years old and over,0.81
2019,Male,50 years old and over,0.71
2020,Male,50 years old and over,0.53
2000,Male,15 to 24 years old,3.68
2001,Male,15 to 24 years old,3.59
2002,Male,15 to 24 years old,3.46
2003,Male,15 to 24 years old,3.37
2004,Male,15 to 24 years old,3.22
2005,Male,15 to 24 years old,3.16
2006,Male,15 to 24 years old,3.05
2007,Male,15 to 24 years old,3.06
2008,Male,15 to 24 years old,3.06
2009,Male,15 to 24 years old,2.94
2010,Male,15 to 24 years old,2.78
2011,Male,15 to 24 years old,2.58
2012,Male,15 to 24 years old,2.39
2013,Male,15 to 24 years old,2.12
2014,Male,15 to 24 years old,1.84
2015,Male,15 to 24 years old,1.6
2016,Male,15 to 24 years old,1.46
2017,Male,15 to 24 years old,1.27
2018,Male,15 to 24 years old,1.06
2019,Male,15 to 24 years old,0.94
