Year,Economic activity,Value
2018,,1
2019,,1
2020,,1
2018,"Water supply; sewerage, waste management and remediation activities",1
2019,"Water supply; sewerage, waste management and remediation activities",1
2020,"Water supply; sewerage, waste management and remediation activities",1
