Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,42,25.7,,35.8,23.2,33.9
2005,40,25,,35.8,23.2,32.5
2010,39.2,25.3,,35.8,23.2,32.3
2015,36.8,23.8,,35.8,23.2,30.3
2019,35.8,23.2,,35.8,23.2,29.4
2000,20.1,12.3,Female,16.2,10.5,16.2
2005,19.1,12,Female,16.2,10.5,15.5
2010,17.5,11.3,Female,16.2,10.5,14.4
2015,17,11,Female,16.2,10.5,14.0
2019,16.2,10.5,Female,16.2,10.5,13.3
2000,64.6,39.6,Male,56,36.3,52.1
2005,61.5,38.5,Male,56,36.3,50.0
2010,61.7,39.8,Male,56,36.3,50.8
2015,57.3,37.1,Male,56,36.3,47.2
2019,56,36.3,Male,56,36.3,46.0
