Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2013,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2014,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2015,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2016,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2017,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2018,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2019,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2020,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2021,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2000,65.6873,63.6069,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,65.68735
2001,65.6873,63.6069,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,65.68735
2002,65.8665,63.786,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,65.86649
2003,65.8665,63.786,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,65.86649
2004,65.8665,63.786,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,65.86649
2005,65.8665,63.786,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,65.86649
2006,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2007,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2008,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2009,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2010,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2011,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2012,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2013,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2014,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2015,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2016,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2017,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2018,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2019,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2020,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
2021,72.2442,72.2442,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],72.2442,72.2442,72.24424
