Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,40.4529,37.8969,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,40.4529
2001,40.4529,37.8969,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,40.4529
2002,40.6444,38.0883,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,40.64437
2003,40.6444,38.0883,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,40.64437
2004,40.6444,38.0883,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,40.64437
2005,40.6444,38.0883,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,40.64437
2006,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2007,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2008,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2009,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2010,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2011,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
2012,48.4799,48.4799,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],48.4799,48.4799,48.47989
