Year,COMMENT_OBS,Value
2000,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",322.7825
2001,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",209.76536
2002,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",100.56252
2003,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",191.98142
2004,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",249.14124
2005,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",242.48928
2006,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",245.03674
2007,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",242.8398
2008,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",204.31318
2009,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",210.4521
2010,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",177.01539
2011,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",229.71974
2012,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",194.41119
2013,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",205.58445
2014,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",191.94048
2015,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",178.20163
2016,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",166.59838
2017,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",143.06962
2018,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",299.59829
2019,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",193.45912
2020,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",224.23103
