Year,UPPER_BOUND,LOWER_BOUND,Value
2000,693,474,578
2001,660,453,550
2002,644,442,537
2003,626,429,520
2004,616,423,512
2005,593,404,491
2006,576,388,473
2007,570,383,465
2008,560,372,455
2009,549,359,442
2010,540,346,430
2011,532,334,419
2012,527,324,412
2013,522,312,401
2014,524,302,394
2015,520,293,387
2016,522,285,381
2017,523,278,375
