Year,Value
2000,13.37
2001,13.97
2002,13.36
2003,13.08
2004,12.77
2005,12.6
2006,11.89
2007,11.52
2008,11.01
2009,10.76
2010,10.69
2011,10.19
2012,10.19
2013,10.34
2014,10.28
2015,10.24
2016,10.16
2017,10.3
2018,10.17
2019,9.98
