Year,Composite breakdown,Value
2016,Fiscal intervention stage: Postfiscal consumable income,42.85025
2016,Fiscal intervention stage: Postfiscal disposable income,43.69822
2016,Fiscal intervention stage: Prefiscal income,45.08697
