Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",47.22253
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",71.36852
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",32.10517
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",70.89959
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",66.90419
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",96.24419
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",87.96033
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",163.30153
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",96.90527
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",185.10898
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",153.99789
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",83.03971
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",98.3863
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",90.0818
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",90.73183
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",126.10283
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",133.42416
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",145.14518
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",154.99767
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",131.08867
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",167.64819
