Value,Disaggregation combinations using this value,Number of indicators
Constant USD,4,2
Hectares,6,2
Index,3,1
Kilograms per constant USD,40,2
Kilograms,4,2
Local currency,1,1
Metric Tons,84,4
Number,252,17
Passenger kilometres,3,1
Per 100 population,4,1
"Per 1,000 live births",7,2
"Per 10,000 population",4,1
"Per 100,000 population",33,5
Percent,163,22
Ratio,6,2
Square kilometers,7,2
Tonne kilometres,5,1
Tonnes per hectare,1,1
USD,28,5
