Indicator,Disaggregation combinations using this value
#1-1-1,9
#1-3-1,8
#1-a-2,1
#15-1-1,2
#15-2-1,2
#17-6-1,6
#17-8-1,2
#2-5-1,6
#2-5-2,3
#3-3-3,5
#4-1-2,6
#6-6-1,20
#9-2-1,2
#9-b-1,1
#9-c-1,2
