Indicator,Disaggregation combinations using this value
#1-5-1,15
#1-5-4,2
#11-5-1,15
#11-b-2,2
#13-1-1,15
#13-1-3,2
#16-1-1,6
#16-7-1,10
#17-6-1,14
#2-1-2,36
#2-2-1,21
#2-2-2,28
#3-2-1,6
#3-2-2,1
#3-4-1,60
#3-4-2,15
#5-5-1,4
