Indicator,Disaggregation combinations using this value
#1-a-2,2
#15-1-1,3
#15-2-1,2
#16-5-1,3
#17-6-1,12
#17-8-1,2
#2-5-1,3
#2-5-2,1
#3-7-2,6
#4-1-2,528
#6-6-1,1
#7-1-1,2
#9-1-2,3
#9-c-1,12
