Indicator,Disaggregation combinations using this value
#1-5-2,2
#1-5-4,1
#11-5-2,2
#11-b-2,1
#12-4-2,4
#12-c-1,2
#13-1-3,1
#14-5-1,1
#15-1-1,1
#15-2-1,1
#16-7-1,1
#17-1-1,1
#17-13-1,16
#2-1-2,36
#2-2-1,21
#2-2-2,27
#2-a-1,5
#3-4-1,15
#3-c-1,2
#5-5-1,5
#6-6-1,15
#9-2-1,3
