Value,Disaggregation combinations using this value,Number of indicators
Bottom 40%,2,2
Quintile 1 (poorest),138,3
Quintile 2,135,2
Quintile 3,135,2
Quintile 4,135,2
Quintile 5 (richest),135,2
Richest 60%,1,1
