Value,Disaggregation combinations using this value,Number of indicators
"Agriculture, forestry and fishing",6,1
Agriculture (ISIC4 A01 A0210 A0322),2,2
Industries,2,2
Non-agriculture,6,1
Services (G to T),2,2
"Water supply; sewerage, waste management and remediation activities",1,1
