Indicator,Disaggregation combinations using this value
#1-3-1,1
#10-a-1,1
#12-2-2,14
#12-4-2,5
#12-c-1,3
#15-2-1,1
#15-6-1,1
#17-10-1,2
#17-13-1,1
#17-17-1,1
#6-1-1,1
#6-3-2,3
#6-5-2,1
#8-4-2,14
#9-1-2,1
