Indicator
#1-1-1
#1-3-1
#1-4-2
#1-5-2
#10-a-1
#11-2-1
#11-5-2
#11-5-3
#11-7-1
#12-2-2
#12-3-1
#12-4-2
#12-b-1
#15-1-1
#15-2-1
#15-6-1
#15-8-1
#16-5-1
#16-7-1
#17-10-1
#17-13-1
#17-17-1
#17-18-3
#17-19-2
#17-6-1
#2-1-2
#2-2-1
#2-2-2
#2-5-1
#2-a-1
#2-c-1
#3-b-2
#3-d-1
#3-d-2
#4-1-2
#4-5-1
#5-5-1
#6-1-1
#6-4-1
#6-5-2
#6-b-1
#8-4-2
#8-a-1
#9-1-2
#9-c-1
